Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2270.917

painting_1 | status=sold | winner=Pro | winning_bid=1100
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Grok RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Pro RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: GPT-5.4 RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: Llama RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: Grok RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Opus RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 29: Pro RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 30: GPT-5.4 RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 31: Llama RAISE to 2200 (before=2100, leader_after=bidder_1)
  turn 32: Grok RAISE to 2300 (before=2200, leader_after=bidder_2)
  turn 33: Opus RAISE to 2400 (before=2300, leader_after=bidder_3)
  turn 34: Pro RAISE to 2500 (before=2400, leader_after=bidder_4)
  turn 35: GPT-5.4 PASS (before=2500, leader_after=bidder_4)
  turn 36: Llama RAISE to 2600 (before=2500, leader_after=bidder_1)
  turn 37: Grok RAISE to 2700 (before=2600, leader_after=bidder_2)
  turn 38: Opus RAISE to 2800 (before=2700, leader_after=bidder_3)
  turn 39: Pro RAISE to 2900 (before=2800, leader_after=bidder_4)
  turn 40: Llama PASS (before=2900, leader_after=bidder_4)
  turn 41: Grok PASS (before=2900, leader_after=bidder_4)
  turn 42: Opus PASS (before=2900, leader_after=bidder_4)

painting_11 | status=sold | winner=Opus | winning_bid=4000
  turn 1: Llama RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Llama RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Grok RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: Opus RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Llama RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Grok RAISE to 650 (before=600, leader_after=bidder_2)
  turn 13: Opus RAISE to 700 (before=650, leader_after=bidder_3)
  turn 14: Pro RAISE to 750 (before=700, leader_after=bidder_4)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_5)
  turn 16: Llama RAISE to 850 (before=800, leader_after=bidder_1)
  turn 17: Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 18: Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 19: Pro RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 20: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 21: Llama RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 22: Grok RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 23: Opus RAISE to 1400 (before=1300, leader_after=bidder_3)
  turn 24: Pro RAISE to 1500 (before=1400, leader_after=bidder_4)
  turn 25: GPT-5.4 RAISE to 1600 (before=1500, leader_after=bidder_5)
  turn 26: Llama RAISE to 1700 (before=1600, leader_after=bidder_1)
  turn 27: Grok RAISE to 1800 (before=1700, leader_after=bidder_2)
  turn 28: Opus RAISE to 1900 (before=1800, leader_after=bidder_3)
  turn 29: Pro RAISE to 2000 (before=1900, leader_after=bidder_4)
  turn 30: GPT-5.4 RAISE to 2100 (before=2000, leader_after=bidder_5)
  turn 31: Llama RAISE to 2200 (before=2100, leader_after=bidder_1)
  turn 32: Grok RAISE to 2300 (before=2200, leader_after=bidder_2)
  turn 33: Opus RAISE to 2400 (before=2300, leader_after=bidder_3)
  turn 34: Pro PASS (before=2400, leader_after=bidder_3)
  turn 35: GPT-5.4 RAISE to 2500 (before=2400, leader_after=bidder_5)
  turn 36: Llama RAISE to 2600 (before=2500, leader_after=bidder_1)
  turn 37: Grok RAISE to 2700 (before=2600, leader_after=bidder_2)
  turn 38: Opus RAISE to 2800 (before=2700, leader_after=bidder_3)
  turn 39: GPT-5.4 RAISE to 2900 (before=2800, leader_after=bidder_5)
  turn 40: Llama PASS (before=2900, leader_after=bidder_5)
  turn 41: Grok RAISE to 3000 (before=2900, leader_after=bidder_2)
  turn 42: Opus RAISE to 3250 (before=3000, leader_after=bidder_3)
  turn 43: GPT-5.4 RAISE to 3500 (before=3250, leader_after=bidder_5)
  turn 44: Grok RAISE to 3750 (before=3500, leader_after=bidder_2)
  turn 45: Opus RAISE to 4000 (before=3750, leader_after=bidder_3)
  turn 46: GPT-5.4 PASS (before=4000, leader_after=bidder_3)
  turn 47: Grok PASS (before=4000, leader_after=bidder_3)

painting_12 | status=sold | winner=Grok | winning_bid=7601
  turn 1: Llama RAISE to 4850 (before=0, leader_after=bidder_1)
  turn 2: Grok RAISE to 7601 (before=4850, leader_after=bidder_2)
  turn 3: Opus PASS (before=7601, leader_after=bidder_2)
  turn 4: Pro PASS (before=7601, leader_after=bidder_2)
  turn 5: GPT-5.4 PASS (before=7601, leader_after=bidder_2)
  turn 6: Llama PASS (before=7601, leader_after=bidder_2)
